Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,108,3,3,122,115,104,38,108,104,36,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,2,2,34,33,32,17,32,32,16,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,3,2,331,279,226,93,227,226,76,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,200,5,3,223,212,187,42,200,187,40,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,80,3,3,92,86,75,29,80,75,27,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,28,1,1,28,28,28,28,28,28,28,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,57,3,3,61,59,52,20,57,52,19,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,446,5,3,602,524,428,105,446,428,89,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,104,2,2,164,134,104,67,104,104,52,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,2,2,37,36,35,18,35,35,18,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,98,2,2,100,99,98,50,98,98,49,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,79,3,2,109,94,78,31,79,78,26,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,57,2,2,62,60,57,30,57,57,29,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java,0,4,3,812,404,231,101,-4,231,-1,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java,0,4,3,578,251,171,63,-77,171,-19,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,51,1,1,51,51,51,51,51,51,51,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,57,1,1,57,57,57,57,57,57,57,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,230,3,2,270,250,230,83,230,230,77,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,152,6,3,184,169,133,28,152,133,25,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,248,6,3,307,278,221,46,248,221,41,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,63,3,3,67,65,61,22,63,61,21,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,74,4,3,80,77,65,19,74,65,19,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,116,1,1,116,116,116,116,116,116,116,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,166,2,2,188,177,166,89,166,166,83,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,726,6,3,846,786,692,131,726,692,121,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,265,4,3,281,273,172,68,265,172,66,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,261,4,3,295,278,260,70,261,260,65,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,170,1,1,170,170,170,170,170,170,170,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,236,11,3,333,286,126,26,236,126,21,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,124,3,3,128,126,112,42,124,112,41,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,48,2,2,62,55,48,28,48,48,24,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,76,2,2,82,79,76,40,76,76,38,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,139,3,3,145,142,129,47,139,129,46,YES
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,53,1,1,53,53,53,53,53,53,53,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,306,3,2,316,311,305,104,306,305,102,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,54,1,1,54,54,54,54,54,54,54,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,268,2,2,286,277,268,139,268,268,134,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,52,2,2,54,53,52,27,52,52,26,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,64,2,2,68,66,64,33,64,64,32,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,315,4,3,323,319,311,80,315,311,79,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,47,1,1,47,47,47,47,47,47,47,NO
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,92,2,2,94,93,92,47,92,92,46,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,754,35,4,2872,1817,545,52,754,545,22,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,149,6,4,218,184,81,31,149,81,25,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,5,2,210,195,168,39,180,168,36,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,477,22,4,1515,998,487,45,477,487,22,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,254,10,3,417,336,124,34,254,124,25,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,56,16,4,1452,756,536,47,56,536,4,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,69,11,3,422,246,133,22,69,133,6,YES
