Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Threshold,92.0,0.0,1.0,64.0,NaiveBayes,1.0,0.59,0.795,0.018,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Threshold,118.0,0.0,1.0,38.0,IBk,1.0,0.756,0.878,0.038,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Learning,152.0,0.0,1.0,4.0,RandomForest,1.0,0.974,1.0,0.326,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Learning,92.0,0.0,1.0,64.0,NaiveBayes,1.0,0.59,0.853,0.018,
AVRO,2,5.16%,65.37%,99.36%,oversampling,Best first,Sensitive Learning,118.0,0.0,1.0,38.0,IBk,1.0,0.756,0.936,0.038,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,No cost sensitive,104.0,0.0,1.0,52.0,RandomForest,1.0,0.667,1.0,0.025,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,No cost sensitive,47.0,0.0,1.0,109.0,NaiveBayes,1.0,0.301,0.353,0.005,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,No cost sensitive,130.0,0.0,1.0,26.0,IBk,1.0,0.833,0.869,0.06,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Threshold,156.0,0.0,1.0,0.0,RandomForest,1.0,1.0,1.0,1.0,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Threshold,58.0,1.0,0.0,98.0,NaiveBayes,0.983,0.372,0.186,-0.013,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Threshold,130.0,0.0,1.0,26.0,IBk,1.0,0.833,0.917,0.06,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Learning,140.0,0.0,1.0,16.0,RandomForest,1.0,0.897,1.0,0.1,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Learning,57.0,1.0,0.0,99.0,NaiveBayes,0.983,0.365,0.353,-0.013,
AVRO,2,5.16%,65.37%,99.36%,undersampling,No Feature Selection,Sensitive Learning,130.0,0.0,1.0,26.0,IBk,1.0,0.833,0.869,0.06,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,No cost sensitive,100.0,0.0,1.0,56.0,RandomForest,1.0,0.641,1.0,0.022,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,No cost sensitive,59.0,0.0,1.0,97.0,NaiveBayes,1.0,0.378,0.853,0.008,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,No cost sensitive,114.0,0.0,1.0,42.0,IBk,1.0,0.731,0.968,0.033,
AVRO,2,5.16%,65.37%,99.36%,undersampling,Best first,Sensitive Threshold,153.0,0.0,1.0,3.0,RandomForest,1.0,0.981,0.99,0.394,
